Dataset,Algoritm,Approach,window,model,resample,F1-Score,Accuracy,Sensitivity,Specificity,ROC AUC score
commons-bcel,DT,slw,2,Evo,NONE,0.91622592,0.8269230769230769,0.7589158345221113,0.8284729672616145,0.7936944008918629
commons-bcel,LogisticRegression,slw,2,Evo,NONE,0.91622592,0.977717736808646,0.0,1.0,0.5
commons-bcel,MLP,slw,2,Evo,NONE,0.91622592,0.977717736808646,0.0,1.0,0.5
commons-bcel,RandomForest,slw,2,Str,RUS,0.91622592,0.6893515575333757,0.7589158345221113,0.6877661822555999,0.7233410083888557
commons-bcel,DT,slw,2,Str,RUS,0.91622592,0.7085187539732994,0.6476462196861626,0.70990604375955,0.6787761317228563
commons-bcel,LogisticRegression,slw,2,Str,RUS,0.91622592,0.7020979020979021,0.5991440798858774,0.7044442277057121,0.6517941537957948
commons-bcel,MLP,slw,2,Str,RUS,0.91622592,0.6246980292434838,0.8273894436519258,0.6200786761598232,0.7237340599058744
commons-bcel,RandomForest,slw,2,StrEvo,RUS,0.91622592,0.8178639542275906,0.9015691868758916,0.8159563054715693,0.8587627461737304
commons-bcel,DT,slw,2,StrEvo,RUS,0.91622592,0.8232040686586141,0.8459343794579173,0.8226860431093339,0.8343102112836256
commons-bcel,LogisticRegression,slw,2,StrEvo,RUS,0.91622592,0.8162746344564527,0.7803138373751783,0.8170941838161189,0.7987040105956487
commons-bcel,MLP,slw,2,StrEvo,RUS,0.91622592,0.8171010807374444,0.9101283880171184,0.8149809811762411,0.8625546845966796
commons-bcel,RandomForest,slw,2,Evo,RUS,0.91622592,0.8278448823903369,0.7574893009985735,0.8294482915569427,0.793468796277758
commons-bcel,DT,slw,2,Evo,RUS,0.91622592,0.8278448823903369,0.7574893009985735,0.8294482915569427,0.793468796277758
commons-bcel,LogisticRegression,slw,2,Evo,RUS,0.91622592,0.8679275270184361,0.6733238231098431,0.8723625605513833,0.7728431918306132
commons-bcel,MLP,slw,2,Evo,RUS,0.91622592,0.8286077558804832,0.7489300998573466,0.8304236158522709,0.7896768578548087
commons-bcel,RandomForest,slw,2,Str,ENN,0.91622592,0.8379529561347743,0.3238231098430813,0.8496700152800807,0.586746562561581
commons-bcel,DT,slw,2,Str,ENN,0.91622592,0.7663064208518754,0.5007132667617689,0.7723593094703989,0.6365362881160839
commons-bcel,LogisticRegression,slw,2,Str,ENN,0.91622592,0.9773998728544184,0.0042796005706134,0.9995773594720244,0.501928480021319
commons-bcel,MLP,slw,2,Str,ENN,0.91622592,0.9746980292434838,0.0171184022824536,0.9965213433466628,0.5068198728145581
commons-bcel,RandomForest,slw,2,StrEvo,ENN,0.91622592,0.941036236490782,0.5021398002853067,0.9510387203745244,0.7265892603299156
commons-bcel,DT,slw,2,StrEvo,ENN,0.91622592,0.91993006993007,0.5734664764621968,0.9278260021457134,0.7506462393039551
commons-bcel,LogisticRegression,slw,2,StrEvo,ENN,0.91622592,0.976891290527654,0.0313837375178316,0.9984394811274748,0.5149116093226533
commons-bcel,MLP,slw,2,StrEvo,ENN,0.91622592,0.9740940877304514,0.4208273894436519,0.9867030787736922,0.7037652341086722
commons-bcel,RandomForest,slw,2,Evo,ENN,0.91622592,0.8272409408773045,0.7589158345221113,0.8287980753600572,0.7938569549410843
