Proj,Fs,App,window,Algorithm,F1,Acc,Sen,AUC,RS
commons-io,StrEvo,slw,3,DT,0.87992067,0.7891849116328146,0.803030303030303,0.7959598953052264,RUS
commons-io,StrEvo,slw,3,LogisticRegression,0.8507688,0.7445001318913216,0.7752525252525253,0.7595482411811417,ROS
commons-io,StrEvo,slw,3,MLP,0.96901175,0.9408599314165128,0.7752525252525253,0.8598230404698964,ROS
commons-io,StrEvo,slw,3,RandomForest,0.88818521,0.8025323133737801,0.8737373737373737,0.8373751796754113,RUS
commons-io,Evo,slw,3,DT,0.91017266,0.8375098918491163,0.6843434343434344,0.7625607467530523,NONE
commons-io,Evo,slw,3,LogisticRegression,0.91089282,0.8382484832498022,0.5505050505050505,0.697446608985485,RUS
commons-io,Evo,slw,3,MLP,0.87116193,0.775309944605645,0.75,0.762924995958834,SMOTE
commons-io,Evo,slw,3,RandomForest,0.91757414,0.8498549195462939,0.6767676767676768,0.7651579102627112,ENN
commons-io,Str,slw,4,DT,0.82078259,0.7001684141902537,0.684931506849315,0.6927040862037286,RUS
commons-io,Str,slw,4,LogisticRegression,0.76747824,0.6285108925952083,0.7780821917808219,0.7017835856365588,ROS
commons-io,Str,slw,4,MLP,0.85633235,0.7523768131689031,0.726027397260274,0.7394686371070243,ROS
commons-io,Str,slw,4,RandomForest,0.81485356,0.6922909762590319,0.7643835616438356,0.7276080317918767,RUS
commons-io,StrEvo,slw,4,DT,0.88959745,0.8043679035149671,0.8164383561643835,0.8102810337522949,RUS
commons-io,StrEvo,slw,4,LogisticRegression,0.85560114,0.7513989243222687,0.7506849315068493,0.7510491501564842,SMOTE
commons-io,StrEvo,slw,4,MLP,0.97294541,0.9481175639702288,0.7671232876712328,0.859451234790056,SMOTE
commons-io,StrEvo,slw,4,RandomForest,0.89376147,0.8112674525995546,0.8767123287671232,0.8433278970074394,RUS
commons-io,Evo,slw,4,DT,0.91695502,0.8487531917205411,0.6931506849315069,0.7725259022706531,NONE
commons-io,Evo,slw,4,LogisticRegression,0.89425357,0.8110501439669691,0.6109589041095891,0.713028504266301,RUS
commons-io,Evo,slw,4,MLP,0.8877989,0.801162601184332,0.7315068493150685,0.7670393131399641,ROS
commons-io,Evo,slw,4,RandomForest,0.91776208,0.8501113706742001,0.6931506849315069,0.7732187301167899,TL
easymock,Str,slw,2,DT,0.93805712,0.884321386104977,0.66,0.7736080523055747,NONE
easymock,Str,slw,2,LogisticRegression,0.85690532,0.751486325802616,0.58,0.6668496214728149,ROS
easymock,Str,slw,2,MLP,0.9284434,0.8677594700186853,0.7733333333333333,0.8211556549667356,ROS
easymock,Str,slw,2,RandomForest,0.83370888,0.7179378291149991,0.8533333333333334,0.784761986694196,RUS
easymock,StrEvo,slw,2,DT,0.95948656,0.922795991166978,0.6733333333333333,0.7996742372103693,ENN
easymock,StrEvo,slw,2,LogisticRegression,0.84072641,0.7273653813487345,0.6133333333333333,0.6710851112640513,SMOTE
easymock,StrEvo,slw,2,MLP,0.95155414,0.9085272634618652,0.8,0.8549638678596009,ROS
easymock,StrEvo,slw,2,RandomForest,0.87246307,0.776371666383557,0.9,0.8373881624225741,RUS
