Proj,Fs,App,window,Algorithm,F1,Acc,Sen,AUC,RS
commons-io,StrEvo,slw,2,MLP,0.95822029,0.921029690785088,0.7432098765432099,0.8340054409946883,ROS
commons-io,StrEvo,slw,2,RandomForest,0.88718485,0.8008307266294036,0.8518518518518519,0.8258002451550839,RUS
commons-io,StrEvo,slw,3,DT,0.87992067,0.7891849116328146,0.803030303030303,0.7959598953052264,RUS
commons-io,StrEvo,slw,3,LogisticRegression,0.8507688,0.7445001318913216,0.7752525252525253,0.7595482411811417,ROS
commons-io,StrEvo,slw,3,MLP,0.96901175,0.9408599314165128,0.7752525252525253,0.8598230404698964,ROS
commons-io,StrEvo,slw,3,RandomForest,0.88818521,0.8025323133737801,0.8737373737373737,0.8373751796754113,RUS
commons-io,StrEvo,slw,4,DT,0.88959745,0.8043679035149671,0.8164383561643835,0.8102810337522949,RUS
commons-io,StrEvo,slw,4,LogisticRegression,0.85560114,0.7513989243222687,0.7506849315068493,0.7510491501564842,SMOTE
commons-io,StrEvo,slw,4,MLP,0.97294541,0.9481175639702288,0.7671232876712328,0.859451234790056,SMOTE
commons-io,StrEvo,slw,4,RandomForest,0.89376147,0.8112674525995546,0.8767123287671232,0.8433278970074394,RUS
easymock,Evo,trad,0,DT,0.41754321,0.2713911972914743,0.9366197183098592,0.6003310198831076,ENN
easymock,Evo,trad,0,LogisticRegression,0.44255165,0.2899353647276085,0.7394366197183099,0.5122031394841744,ENN
easymock,Evo,trad,0,MLP,0.41468975,0.2690827947060634,0.9295774647887324,0.5956818395983494,SMOTE
easymock,Evo,trad,0,RandomForest,0.41754321,0.2713911972914743,0.9366197183098592,0.6003310198831076,ENN
easymock,Evo,slw,2,DT,0.49757799,0.3393069475114659,0.9533333333333334,0.6423583390685937,NONE
easymock,Evo,slw,2,LogisticRegression,0.43963263,0.2900458637676236,0.9066666666666666,0.594377724248681,ROS
easymock,Evo,slw,2,MLP,0.49718974,0.3389672158994394,0.9533333333333334,0.642186281257169,SMOTE
easymock,Evo,slw,2,RandomForest,0.49757799,0.3393069475114659,0.9533333333333334,0.6423583390685937,NONE
easymock,Evo,slw,3,DT,0.9296214,0.8690758814736657,0.4,0.6371443812233285,SMOTE
easymock,Evo,slw,3,LogisticRegression,0.8894884,0.801899235030335,0.424,0.6150494310099573,ADA
easymock,Evo,slw,3,MLP,0.92774621,0.86582256220874,0.4,0.6354996443812233,SMOTE
easymock,Evo,slw,3,RandomForest,0.92967199,0.8691638090213664,0.4,0.6371888335704124,NONE
easymock,Evo,slw,4,DT,0.92523042,0.8617011578083691,0.5076923076923077,0.6868196753887316,RUS
easymock,Evo,slw,4,LogisticRegression,0.91146691,0.8381803263743276,0.4384615384615384,0.6407179912992257,ROS
easymock,Evo,slw,4,MLP,0.92824142,0.8668976205670526,0.5076923076923077,0.6894490692442534,RUS
easymock,Evo,slw,4,RandomForest,0.52506291,0.3633877290546084,0.9692307692307692,0.6626760913226455,SMOTE
easymock,Str,trad,0,DT,0.938893,0.8856571252693136,0.6619718309859155,0.7750500200518499,ROS
easymock,Str,trad,0,LogisticRegression,0.83239819,0.7149892274546014,0.6619718309859155,0.6887733746496405,ADA
easymock,Str,trad,0,MLP,0.92003353,0.853185595567867,0.7887323943661971,0.8213150068921384,ROS
easymock,Str,trad,0,RandomForest,0.93733778,0.8829639889196675,0.6971830985915493,0.7910997179592257,ROS
easymock,Str,slw,2,DT,0.93805712,0.884321386104977,0.66,0.7736080523055747,NONE
easymock,Str,slw,2,LogisticRegression,0.85690532,0.751486325802616,0.58,0.6668496214728149,ROS
easymock,Str,slw,2,MLP,0.9284434,0.8677594700186853,0.7733333333333333,0.8211556549667356,ROS
easymock,Str,slw,2,RandomForest,0.83370888,0.7179378291149991,0.8533333333333334,0.784761986694196,RUS
easymock,Str,slw,3,DT,0.95724049,0.9185790908291568,0.656,0.7887485775248934,NONE
easymock,Str,slw,3,LogisticRegression,0.86772593,0.7679592016178669,0.624,0.6967795163584638,ADA
easymock,Str,slw,3,MLP,0.937117,0.8827046513672734,0.792,0.8378563300142248,ROS
easymock,Str,slw,3,RandomForest,0.85770771,0.7531873736041502,0.848,0.8000668563300142,RUS
easymock,Str,slw,4,DT,0.9591554,0.9220530586197464,0.5769230769230769,0.7515577650507071,ENN
easymock,Str,slw,4,LogisticRegression,0.86156744,0.7587747287811104,0.6846153846153846,0.7221397801386731,ADA
easymock,Str,slw,4,MLP,0.94324587,0.8935180964536421,0.7307692307692307,0.8131196462915257,ROS
easymock,Str,slw,4,RandomForest,0.86708696,0.767435500045583,0.7461538461538462,0.7569222962663316,RUS
easymock,StrEvo,trad,0,DT,0.85349468,0.7466143428747307,0.7816901408450704,0.7639584981493129,RUS
easymock,StrEvo,trad,0,LogisticRegression,0.83482344,0.7185287780855648,0.6619718309859155,0.6905627009293978,SMOTE
easymock,StrEvo,trad,0,MLP,0.94860595,0.9031240381655894,0.8309859154929577,0.8674534369747346,ROS
easymock,StrEvo,trad,0,RandomForest,0.95906763,0.9218990458602648,0.6338028169014085,0.7794422517679596,ROS
easymock,StrEvo,slw,2,DT,0.95948656,0.922795991166978,0.6733333333333333,0.7996742372103693,ENN
easymock,StrEvo,slw,2,LogisticRegression,0.84072641,0.7273653813487345,0.6133333333333333,0.6710851112640513,SMOTE
easymock,StrEvo,slw,2,MLP,0.95155414,0.9085272634618652,0.8,0.8549638678596009,ROS
easymock,StrEvo,slw,2,RandomForest,0.87246307,0.776371666383557,0.9,0.8373881624225741,RUS
easymock,StrEvo,slw,3,DT,0.98062243,0.962279082036402,0.712,0.838530227596017,ENN
easymock,StrEvo,slw,3,LogisticRegression,0.86894201,0.7700694627626835,0.712,0.7413573968705548,ADA
easymock,StrEvo,slw,3,MLP,0.97542138,0.9524311966939242,0.776,0.865195945945946,ROS
easymock,StrEvo,slw,3,RandomForest,0.87415034,0.778598434889651,0.88,0.828735775248933,RUS
easymock,StrEvo,slw,4,DT,0.8812529,0.7898623393199016,0.8538461538461538,0.8214705444016267,RUS
easymock,StrEvo,slw,4,LogisticRegression,0.88840061,0.8008934269304403,0.7076923076923077,0.7548517816715989,ROS
easymock,StrEvo,slw,4,MLP,0.97491513,0.9514996809189534,0.7615384615384615,0.8576582426706977,ROS
easymock,StrEvo,slw,4,RandomForest,0.87735069,0.7835718844014952,0.8,0.7916874250392103,RUS
pdfbox,Evo,trad,0,DT,0.9220202,0.8621786548948325,0.4976141785957736,0.6990833323918095,RUS
pdfbox,Evo,trad,0,LogisticRegression,0.9220202,0.8621786548948325,0.4976141785957736,0.6990833323918095,RUS
pdfbox,Evo,trad,0,MLP,0.9220202,0.8621786548948325,0.4976141785957736,0.6990833323918095,RUS
pdfbox,Evo,trad,0,RandomForest,0.9220202,0.8621786548948325,0.4976141785957736,0.6990833323918095,RUS
pdfbox,Evo,slw,2,DT,0.89450296,0.824945618110091,0.7642055120789384,0.7982663352654037,NONE
